"Date","Analyst Name","Firm Name","Adjusted Price Target","Adjusted Previous Price Target","Rating Change","Current Rating","Previous Rating"
"2021-06-15","Andrew Gollan","Berenberg","245","215","Maintains","Hold",""
"2021-06-01","Cai Rumohr","Cowen & Co.","290","240","Upgrades","Outperform","Market Perform"
"2021-05-21","Jonathan Raviv","Citigroup","240","200","Maintains","Neutral",""
"2021-05-13","Matthew Akers","Wells Fargo","244","","Initiates Coverage On","Equal-Weight",""
"2021-05-04","Douglas Harned","Bernstein","229","196","Upgrades","Market Perform","Underperform"
"2021-04-29","Robert Spingarn","Credit Suisse","230","233","Maintains","Neutral",""
"2021-04-15","Robert Spingarn","Credit Suisse","233","193","Maintains","Neutral",""
"2021-03-19","Charles Minervino","Susquehanna","300","250","Maintains","Positive",""
"2021-03-15","Kristine Liwag","Morgan Stanley","274","250","Maintains","Overweight",""
"2021-03-05","Kenneth Herbert","Canaccord Genuity","275","200","Upgrades","Buy","Hold"
"2021-03-01","Kristine Liwag","Morgan Stanley","250","230","Maintains","Overweight",""
"2021-01-29","Kristine Liwag","Morgan Stanley","230","165","Upgrades","Overweight","Underweight"
"2021-01-28","Robert Spingarn","Credit Suisse","193","195","Maintains","Neutral",""
"2021-01-20","Andrew Gollan","Berenberg","215","150","Upgrades","Hold","Sell"
"2021-01-04","Douglas Harned","Bernstein","199","","Downgrades","Underperform","Market Perform"
"2020-12-17","","Redburn Partners","","","Downgrades","Sell","Neutral"
"2020-12-07","Myles Walton","UBS","300","150","Upgrades","Buy","Neutral"
"2020-12-04","Hunter Keay","Wolfe Research","","","Downgrades","Underperform","Peer Perform"
"2020-11-19","Charles Minervino","Susquehanna","275","220","Maintains","Positive",""
"2020-11-18","Peter Arment","Baird","306","","Upgrades","Outperform","Neutral"
"2020-11-05","Josh Sullivan","Benchmark","210","230","Maintains","Buy",""
"2020-10-29","Rajeev Lalwani","Morgan Stanley","165","181","Maintains","Underweight",""
"2020-10-06","Robert Spingarn","Credit Suisse","184","154","Maintains","Neutral",""
"2020-09-28","","Alembic Global","","","Upgrades","Overweight","Neutral"
