"Date","Analyst Name","Firm Name","Adjusted Price Target","Adjusted Previous Price Target","Rating Change","Current Rating","Previous Rating"
"2020-01-29","Noah Poponak","Goldman Sachs","520","469","Maintains","Buy",""
"2020-01-29","","Alembic Global","","","Downgrades","Neutral","Overweight"
"2020-01-15","Myles Walton","UBS","470","440","Maintains","Buy",""
"2019-12-12","Rajeev Lalwani","Morgan Stanley","375","364","Maintains","Equal-Weight",""
"2019-11-07","Richard Safran","Buckingham Research","450","405","Maintains","Buy",""
"2019-10-23","Robert Spingarn","Credit Suisse","385","401","Maintains","Neutral",""
"2019-10-23","","JP Morgan","360","395","Maintains","Neutral",""
"2019-10-23","Rajeev Lalwani","Morgan Stanley","364","381","Maintains","Equal-Weight",""
"2019-10-10","Robert Spingarn","Credit Suisse","401","379","Maintains","Neutral",""
"2019-10-10","Rajeev Lalwani","Morgan Stanley","381","376","Maintains","Equal-Weight",""
"2019-08-14","Rajeev Lalwani","Morgan Stanley","376","356","Maintains","Equal-Weight",""
"2019-07-25","Robert Czerwensky","DZ Bank","","","Downgrades","Hold","Buy"
"2019-07-24","","JP Morgan","395","360","Maintains","Neutral",""
"2019-07-24","Robert Spingarn","Credit Suisse","379","369","Maintains","Neutral",""
"2019-07-10","Myles Walton","UBS","420","385","Maintains","Buy",""
"2019-06-14","Rajeev Lalwani","Morgan Stanley","356","324","Maintains","Equal-Weight",""
"2019-05-16","","Barclays","370","340","Maintains","Equal-Weight",""
"2019-04-24","Myles Walton","UBS","385","365","Maintains","Buy","Buy"
"2019-04-24","Peter Arment","Baird","371","326","Maintains","Outperform","Outperform"
"2019-02-13","Rajeev Lalwani","Morgan Stanley","324","300","Maintains","Equal-Weight","Equal-Weight"
"2019-01-14","","Citigroup","338","400","Maintains","Buy","Buy"
"2019-01-10","Charles Minervino","Susquehanna","321","","Initiates Coverage On","Positive",""
"2019-01-10","","Vertical Research","340","","Upgrades","Buy","Hold"
"2019-01-10","Rajeev Lalwani","Morgan Stanley","300","","Downgrades","Equal-Weight","Overweight"
"2018-12-04","","Barclays","325","369","Maintains","Equal-Weight","Equal-Weight"
"2018-11-14","Rajeev Lalwani","Morgan Stanley","366","386","Maintains","Overweight","Overweight"
"2018-10-24","Robert Spingarn","Credit Suisse","357","368","Maintains","Neutral","Neutral"
"2018-10-24","","JP Morgan","370","395","Maintains","Neutral","Neutral"
"2018-10-24","Noah Poponak","Goldman Sachs","394","391","Upgrades","Conviction Buy","Neutral"
"2018-10-11","Rajeev Lalwani","Morgan Stanley","386","377","Maintains","Overweight","Overweight"
"2018-10-03","Robert Spingarn","Credit Suisse","368","340","Maintains","Neutral","Neutral"
"2018-08-16","Myles Walton","UBS","400","","Initiates Coverage On","Buy",""
"2018-07-26","","Berenberg","","","Upgrades","Buy","Hold"
"2018-07-25","Ronald Epstein","B of A Securities","412","400","Maintains","Buy","Buy"
"2018-07-25","Robert Spingarn","Credit Suisse","340","335","Maintains","Neutral","Neutral"
"2018-07-25","Rajeev Lalwani","Morgan Stanley","377","352","Maintains","Overweight","Overweight"
"2018-07-25","","Cowen & Co.","","","Upgrades","Outperform","Market Perform"
"2018-07-25","Joseph DeNardi","Stifel","370","400","Maintains","Buy","Buy"
"2018-07-12","Rajeev Lalwani","Morgan Stanley","352","370","Maintains","Overweight","Overweight"
"2018-04-12","Rajeev Lalwani","Morgan Stanley","373","388","Maintains","Overweight","Overweight"
"2018-03-29","","Barclays","369","","Initiates Coverage On","Equal-Weight",""
"2018-02-23","Rajeev Lalwani","Morgan Stanley","388","382","Maintains","Overweight","Overweight"
"2018-02-05","Richard Safran","Buckingham Research","403","348","Maintains","Buy","Buy"
